-rwxr-xr-x,1,root,root,219292,Nov,18,2015,libtool
-rw-r--r--,1,sois,sois,198965,Oct,29,2011,ltmain.sh
-rw-r--r--,1,root,root,23445,Nov,18,2015,Makefile
-rw-r--r--,1,sois,sois,1760,Oct,29,2011,Makefile.am
-rw-r--r--,1,sois,sois,20718,Nov,18,2015,Makefile.in
-rwxr-xr-x,1,sois,sois,11135,Oct,29,2011,missing
-rw-r--r--,1,sois,sois,4262,Oct,29,2011,README
-rw-r--r--,1,sois,sois,1139,Oct,29,2011,TODO
-rw-r--r--,1,sois,sois,1139,Oct,29,2011,TODO
-rw-r--r--,1,sois,sois,4026,Oct,29,2011,dei80211mr.m4
-rw-r--r--,1,root,root,14360,Nov,18,2015,Makefile
-rw-r--r--,1,sois,sois,1729,Oct,29,2011,Makefile.am
-rw-r--r--,1,sois,sois,11644,Nov,18,2015,Makefile.in
-rw-r--r--,1,sois,sois,6276,Oct,29,2011,nsallinone.m4
-rw-r--r--,1,sois,sois,6276,Oct,29,2011,nsallinone.m4
-rw-r--r--,1,sois,sois,8456,Oct,29,2011,adhoc_tcp.tcl
-rw-r--r--,1,sois,sois,10859,Oct,29,2011,infrastruct_rate_adaptation.tcl
-rw-r--r--,1,root,root,13196,Nov,18,2015,Makefile
-rw-r--r--,1,sois,sois,1686,Oct,29,2011,Makefile.am
-rw-r--r--,1,sois,sois,10465,Nov,18,2015,Makefile.in
-rw-r--r--,1,sois,sois,10465,Nov,18,2015,Makefile.in
-rw-r--r--,1,sois,sois,3574,Oct,29,2011,arf.cc
-rw-r--r--,1,sois,sois,2614,Oct,29,2011,arf.h
-rw-r--r--,1,sois,sois,1899,Oct,29,2011,deipropagation.h
-rw-r--r--,1,root,root,66952,Nov,18,2015,InitTcl.cc
-rw-r--r--,1,root,root,850,Nov,18,2015,libdei80211mr.la
-rw-r--r--,1,root,root,331,Nov,18,2015,libdei80211mr_la-arf.lo
-rw-r--r--,1,root,root,339,Nov,18,2015,libdei80211mr_la-InitTcl.lo
-rw-r--r--,1,root,root,339,Nov,18,2015,libdei80211mr_la-libinit.lo
-rw-r--r--,1,root,root,365,Nov,18,2015,libdei80211mr_la-Mac80211EventHandler.lo
-rw-r--r--,1,root,root,349,Nov,18,2015,libdei80211mr_la-mac-802_11mr.lo
-rw-r--r--,1,root,root,349,Nov,18,2015,libdei80211mr_la-mac-timersmr.lo
-rw-r--r--,1,root,root,351,Nov,18,2015,libdei80211mr_la-papropagation.lo
-rw-r--r--,1,root,root,361,Nov,18,2015,libdei80211mr_la-peerstatsdb_static.lo
-rw-r--r--,1,root,root,343,Nov,18,2015,libdei80211mr_la-peerstats.lo
-rw-r--r--,1,root,root,331,Nov,18,2015,libdei80211mr_la-PER.lo
-rw-r--r--,1,root,root,351,Nov,18,2015,libdei80211mr_la-power_profile.lo
-rw-r--r--,1,root,root,337,Nov,18,2015,libdei80211mr_la-ra-snr.lo
-rw-r--r--,1,root,root,347,Nov,18,2015,libdei80211mr_la-rateadapter.lo
-rw-r--r--,1,root,root,333,Nov,18,2015,libdei80211mr_la-rbar.lo
-rw-r--r--,1,root,root,361,Nov,18,2015,libdei80211mr_la-wireless-channelpa.lo
-rw-r--r--,1,root,root,353,Nov,18,2015,libdei80211mr_la-wireless-phymr.lo
-rw-r--r--,1,sois,sois,2365,Oct,29,2011,libinit.cc
-rw-r--r--,1,sois,sois,3900,Oct,29,2011,Mac80211EventHandler.cc
-rw-r--r--,1,sois,sois,4681,Oct,29,2011,Mac80211EventHandler.h
-rw-r--r--,1,sois,sois,70045,Oct,29,2011,mac-802_11mr.cc
-rw-r--r--,1,sois,sois,22528,Oct,29,2011,mac-802_11mr.h
-rw-r--r--,1,sois,sois,6849,Oct,29,2011,mac-timersmr.cc
-rw-r--r--,1,sois,sois,3942,Oct,29,2011,mac-timersmr.h
-rw-r--r--,1,root,root,70219,Nov,18,2015,Makefile
-rw-r--r--,1,sois,sois,3524,Oct,29,2011,Makefile.am
-rw-r--r--,1,sois,sois,70462,Nov,18,2015,Makefile.in
-rw-r--r--,1,sois,sois,5994,Oct,29,2011,multirate-defaults.tcl
-rw-r--r--,1,sois,sois,3688,Oct,29,2011,papropagation.cc
-rw-r--r--,1,sois,sois,2549,Oct,29,2011,papropagation.h
-rw-r--r--,1,sois,sois,2722,Oct,29,2011,peerstats.cc
-rw-r--r--,1,sois,sois,4064,Oct,29,2011,peerstatsdb_static.cc
-rw-r--r--,1,sois,sois,2534,Oct,29,2011,peerstatsdb_static.h
-rw-r--r--,1,sois,sois,4350,Oct,29,2011,peerstats.h
-rw-r--r--,1,sois,sois,17474,Oct,29,2011,PER.cc
-rw-r--r--,1,sois,sois,6800,Oct,29,2011,PER.h
-rw-r--r--,1,sois,sois,23549,Oct,29,2011,per_table_80211b_intersil_HFA3861B.tcl
-rw-r--r--,1,sois,sois,41821,Oct,29,2011,per_table_80211g_Trivellato.tcl
-rw-r--r--,1,sois,sois,2282,Oct,29,2011,phymodes.h
-rw-r--r--,1,sois,sois,6497,Oct,29,2011,power_profile.cc
-rw-r--r--,1,sois,sois,4866,Oct,29,2011,power_profile.h
-rw-r--r--,1,sois,sois,3217,Oct,29,2011,ra-snr.cc
-rw-r--r--,1,sois,sois,2057,Oct,29,2011,ra-snr.h
-rw-r--r--,1,sois,sois,6151,Oct,29,2011,rateadapter.cc
-rw-r--r--,1,sois,sois,3106,Oct,29,2011,rateadapter.h
-rw-r--r--,1,sois,sois,3912,Oct,29,2011,rbar.cc
-rw-r--r--,1,sois,sois,2235,Oct,29,2011,rbar.h
-rw-r--r--,1,sois,sois,2924,Oct,29,2011,test_PER.cc
-rw-r--r--,1,sois,sois,5783,Oct,29,2011,test_power_profile.cc
-rw-r--r--,1,sois,sois,12586,Oct,29,2011,wireless-channelpa.cc
-rw-r--r--,1,sois,sois,3791,Oct,29,2011,wireless-channelpa.h
-rw-r--r--,1,sois,sois,17224,Oct,29,2011,wireless-phymr.cc
-rw-r--r--,1,sois,sois,6077,Oct,29,2011,wireless-phymr.h
-rw-r--r--,1,sois,sois,6077,Oct,29,2011,wireless-phymr.h
-rw-r--r--,1,sois,sois,6400,Oct,29,2011,DLList.cc
-rw-r--r--,1,sois,sois,5579,Oct,29,2011,DLList.h
-rw-r--r--,1,root,root,341,Nov,18,2015,libdei80211mr_la-DLList.lo
-rw-r--r--,1,root,root,341,Nov,18,2015,libdei80211mr_la-NSNode.lo
-rw-r--r--,1,root,root,341,Nov,18,2015,libdei80211mr_la-Object.lo
-rw-r--r--,1,root,root,345,Nov,18,2015,libdei80211mr_la-Position.lo
-rw-r--r--,1,root,root,13307,Nov,18,2015,Makefile
-rw-r--r--,1,sois,sois,1785,Oct,29,2011,Makefile.am
-rw-r--r--,1,sois,sois,10570,Nov,18,2015,Makefile.in
-rw-r--r--,1,sois,sois,2547,Oct,29,2011,NSNode.cc
-rw-r--r--,1,sois,sois,3351,Oct,29,2011,NSNode.h
-rw-r--r--,1,sois,sois,1642,Oct,29,2011,Object.cc
-rw-r--r--,1,sois,sois,1805,Oct,29,2011,Object.h
-rw-r--r--,1,sois,sois,1684,Oct,29,2011,Position.cc
-rw-r--r--,1,sois,sois,2587,Oct,29,2011,Position.h
-rw-r--r--,1,sois,sois,2587,Oct,29,2011,Position.h
-rwxr-xr-x,1,root,root,47806,Nov,18,2015,edriver
-rwxr-xr-x,1,root,root,63475,Nov,18,2015,itm
-rwxr-xr-x,1,root,root,40151,Nov,18,2015,sgb2alt
-rwxr-xr-x,1,root,root,48785,Nov,18,2015,sgb2comns
-rwxr-xr-x,1,root,root,44400,Nov,18,2015,sgb2hierns
-rwxr-xr-x,1,root,root,40150,Nov,18,2015,sgb2ns
-rwxr-xr-x,1,root,root,40150,Nov,18,2015,sgb2ns
-rw-r--r--,1,sois,sois,2657,Oct,29,2011,edriver-doc.txt
-rw-r--r--,1,sois,sois,4636,Oct,29,2011,itm-doc.txt
-rw-r--r--,1,sois,sois,19529,Oct,29,2011,metrics.ps
-rw-r--r--,1,sois,sois,134565,Oct,29,2011,models.ps
-rw-r--r--,1,sois,sois,3543,Oct,29,2011,README-SGB
-rw-r--r--,1,sois,sois,2067,Oct,29,2011,sgb2alt-doc.txt
-rw-r--r--,1,sois,sois,2067,Oct,29,2011,sgb2alt-doc.txt
-rw-r--r--,1,sois,sois,226,Oct,29,2011,eval.h
-rw-r--r--,1,sois,sois,655,Oct,29,2011,gb_dijk.h
-rw-r--r--,1,sois,sois,285,Oct,29,2011,gb_flip.h
-rw-r--r--,1,sois,sois,2485,Oct,29,2011,gb_graph.h
-rw-r--r--,1,sois,sois,93,Oct,29,2011,gb_save.h
-rw-r--r--,1,sois,sois,2367,Oct,29,2011,geog.h
-rw-r--r--,1,sois,sois,2367,Oct,29,2011,geog.h
-rw-r--r--,1,root,root,255700,Nov,18,2015,libgb.a
-rw-r--r--,1,root,root,255700,Nov,18,2015,libgb.a
-rw-r--r--,1,sois,sois,128,Oct,29,2011,r10
-rw-r--r--,1,sois,sois,380,Oct,29,2011,r10-0.alt
-rw-r--r--,1,sois,sois,149,Oct,29,2011,r10-0-ev
-rw-r--r--,1,sois,sois,390,Oct,29,2011,r10-1.alt
-rw-r--r--,1,sois,sois,149,Oct,29,2011,r10-1-ev
-rw-r--r--,1,sois,sois,1175,Oct,29,2011,r10-1.gb
-rw-r--r--,1,sois,sois,353,Oct,29,2011,r10-2.alt
-rw-r--r--,1,sois,sois,1147,Oct,29,2011,r10-2.gb
-rw-r--r--,1,sois,sois,80,Oct,29,2011,Runconvert
-rw-r--r--,1,sois,sois,81,Oct,29,2011,Runeval
-rw-r--r--,1,sois,sois,81,Oct,29,2011,Runeval
-rw-r--r--,1,sois,sois,862,Oct,29,2011,Makefile
-rw-r--r--,1,sois,sois,1317,Oct,29,2011,Makefile.GEN
-rw-r--r--,1,sois,sois,994,Oct,29,2011,Makefile.Sol
-rw-r--r--,1,sois,sois,1605,Oct,29,2011,README
-rw-r--r--,1,sois,sois,12823,Oct,29,2011,sgb2comns.c
-rw-r--r--,1,root,root,12584,Nov,18,2015,sgb2comns.o
-rw-r--r--,1,sois,sois,9852,Oct,29,2011,sgb2hierns.c
-rw-r--r--,1,root,root,8440,Nov,18,2015,sgb2hierns.o
-rw-r--r--,1,sois,sois,4189,Oct,29,2011,sgb2ns.c
-rw-r--r--,1,root,root,4184,Nov,18,2015,sgb2ns.o
-rw-r--r--,1,sois,sois,1623,Oct,29,2011,ts20.gb
-rw-r--r--,1,sois,sois,2204,Oct,29,2011,ts20.tcl
-rw-r--r--,1,sois,sois,2204,Oct,29,2011,ts20.tcl
-rw-r--r--,1,sois,sois,1630,Oct,29,2011,dfs.c
-rw-r--r--,1,root,root,1604,Nov,18,2015,dfs.o
-rw-r--r--,1,sois,sois,4614,Oct,29,2011,edriver.c
-rw-r--r--,1,root,root,3672,Nov,18,2015,edriver.o
-rw-r--r--,1,sois,sois,6121,Oct,29,2011,eval.c
-rw-r--r--,1,root,root,4096,Nov,18,2015,eval.o
-rw-r--r--,1,sois,sois,17311,Oct,29,2011,geog.c
-rw-r--r--,1,root,root,10012,Nov,18,2015,geog.o
-rw-r--r--,1,sois,sois,7671,Oct,29,2011,itm.c
-rw-r--r--,1,root,root,6888,Nov,18,2015,itm.o
-rw-r--r--,1,sois,sois,1077,Oct,29,2011,Makefile
-rw-r--r--,1,sois,sois,1317,Oct,29,2011,Makefile.GEN
-rw-r--r--,1,sois,sois,994,Oct,29,2011,Makefile.Sol
-rw-r--r--,1,sois,sois,2604,Oct,29,2011,sgb2alt.c
-rw-r--r--,1,root,root,3068,Nov,18,2015,sgb2alt.o
-rw-r--r--,1,sois,sois,21066,Oct,29,2011,ts.c
-rw-r--r--,1,root,root,11316,Nov,18,2015,ts.o
-rw-r--r--,1,root,root,11316,Nov,18,2015,ts.o
-rw-r--r--,1,root,root,218567,Nov,18,2015,tclDecls.h
-rw-r--r--,1,root,root,87037,Nov,18,2015,tcl.h
-rw-r--r--,1,root,root,67250,Nov,18,2015,tclIntDecls.h
-rw-r--r--,1,root,root,152908,Nov,18,2015,tclInt.h
-rw-r--r--,1,root,root,23187,Nov,18,2015,tclIntPlatDecls.h
-rw-r--r--,1,root,root,3691,Nov,18,2015,tclPlatDecls.h
-rw-r--r--,1,root,root,1417,Nov,18,2015,tclPort.h
-rw-r--r--,1,root,root,24967,Nov,18,2015,tclTomMathDecls.h
-rw-r--r--,1,root,root,18454,Nov,18,2015,tclTomMath.h
-rw-r--r--,1,root,root,15660,Nov,18,2015,tclUnixPort.h
-rw-r--r--,1,root,root,107895,Nov,18,2015,tkDecls.h
-rw-r--r--,1,root,root,57412,Nov,18,2015,tk.h
-rw-r--r--,1,root,root,68299,Nov,18,2015,tkIntDecls.h
-rw-r--r--,1,root,root,41643,Nov,18,2015,tkInt.h
-rw-r--r--,1,root,root,35095,Nov,18,2015,tkIntPlatDecls.h
-rw-r--r--,1,root,root,7619,Nov,18,2015,tkPlatDecls.h
-rw-r--r--,1,root,root,667,Nov,18,2015,tkPort.h
-rw-r--r--,1,root,root,674,Nov,18,2015,tkUnixInt.h
-rw-r--r--,1,root,root,4915,Nov,18,2015,tkUnixPort.h
-rw-r--r--,1,root,root,9840,Nov,18,2015,ttkDecls.h
-rw-r--r--,1,root,root,15320,Nov,18,2015,ttkTheme.h
-rw-r--r--,1,root,root,15320,Nov,18,2015,ttkTheme.h
-rwxr-xr-x,1,root,root,851,Nov,18,2015,libdei80211mr.la
-rwxr-xr-x,1,root,root,920506,Nov,18,2015,libdei80211mr.so.0.0.0
-r-xr-xr-x,1,root,root,1799208,Nov,18,2015,libtcl8.5.a
-rw-r--r--,1,root,root,3416,Nov,18,2015,libtclstub8.5.a
